PC Time	Time Meas	Mod No.	Mod Status	Range Innov	Range Uncer	Rate Innov	Rate Uncer	Sat Num
0.0000	115.286976	2	0	 -4.7575607	       8.1766514	 -1.4584367	       0.2209382	7
0.0000	115.387008	0	0	  7.8372183	       8.1564502	  2.4357834	       0.3652036	3
0.0000	115.387008	4	0	 -2.5358253	       8.1611430	 -1.0918088	       0.2777972	14
0.0000	115.387008	5	0	  7.4992762	       8.1946185	  2.1737525	       0.3644216	17
0.0000	116.286976	1	8	 -0.4418266	       8.1127786	 -0.1775272	       0.2758314	6
0.0000	116.286976	2	0	 -6.6142364	       8.1858249	 -1.7830091	       0.4319835	7
0.0000	116.387008	0	0	 10.9801617	       8.1833341	  2.9777169	       0.5949692	3
0.0000	116.387008	4	8	 -3.8284137	       8.1688850	 -1.3101673	       0.6207439	14
0.0000	116.387008	5	0	  9.5858927	       8.2259235	  2.4532893	       0.4377459	17
0.0000	117.286976	1	8	 -0.1009218	       8.1107043	  0.0248606	       0.2728996	6
0.0000	117.387008	0	0	 12.3714771	       8.2112297	  2.3268209	       0.5288962	3
0.0000	117.387008	2	0	 -7.2787442	       8.1918379	 -1.1177646	       0.3268940	7
0.0000	117.387008	3	0	  1.5627557	       8.1123991	  0.7818494	       0.2225788	13
0.0000	117.387008	4	8	 -3.4931970	       8.1600048	 -0.3144746	       0.2785727	14
0.0000	117.387008	5	0	 11.6404657	       8.2759182	  2.4638944	       0.5339827	17
0.0000	118.286976	1	8	 -0.3511744	       8.1087315	 -0.1113452	       0.2660310	6
0.0000	118.387008	0	0	 14.1840954	       8.2700488	  2.0282869	       0.6149819	3
0.0000	118.387008	2	8	 -8.1464787	       8.2071279	 -0.7447669	       0.3664791	7
0.0000	118.387008	3	0	  1.5627557	       8.1123991	  0.7818494	       0.2225788	13
0.0000	118.387008	4	8	 -3.3631895	       8.1534386	  0.5498345	       0.2102327	14
0.0000	118.387008	5	8	 11.2249308	       8.2720850	  0.9892650	       0.3628665	17
0.0000	119.286976	1	8	 -0.3059977	       8.1066937	 -0.3416843	       0.2546607	6
0.0000	119.387008	0	8	  9.0938187	       8.1775550	 -0.2339142	       0.1894882	3
0.0000	119.387008	2	8	 -5.9500642	       8.1829090	  0.3968595	       0.1832490	7
0.0000	119.387008	3	0	  1.5627557	       8.1123991	  0.7818494	       0.2225788	13
0.0000	119.387008	4	8	 -2.9705713	       8.1481496	  0.4147165	       0.1761648	14
0.0000	119.387008	5	8	  7.9238710	       8.2048803	  0.1267138	       0.1418349	17
0.0000	120.286976	1	8	  0.0870670	       8.1042605	  0.0564614	       0.2524532	6
0.0000	120.387008	0	0	  8.0046654	       8.1681266	 -0.6431946	       0.1793063	3
0.0000	120.387008	2	8	 -5.2957158	       8.1746707	  0.4871227	       0.1704014	7
0.0000	120.387008	3	8	 -4.5950809	       8.1186884	  0.1523566	       0.1325500	13
0.0000	120.387008	4	8	 -2.5540318	       8.1430436	  0.0042184	       0.1444254	14
0.0000	120.387008	5	0	  6.8891258	       8.1926524	 -0.7266857	       0.1795237	17
0.0000	121.288640	0	8	  7.6036859	       8.1699520	 -0.6225842	       0.2769306	3
0.0000	121.288640	1	8	  0.3450467	       8.1021430	  0.3719980	       0.1891174	6
0.0000	121.288640	2	8	 -5.2004542	       8.1672378	  0.1828690	       0.1556513	7
0.0000	121.388672	3	8	 -4.4175706	       8.1149389	  0.1363142	       0.1476886	13
0.0000	121.388672	4	8	 -2.6542897	       8.1385404	 -0.1278550	       0.1434702	14
0.0000	121.388672	5	8	  6.4743991	       8.1903514	 -0.3406455	       0.1685608	17
0.0000	122.288640	0	8	  8.0176802	       8.1592021	  0.3606275	       0.2497978	3
0.0000	122.288640	1	8	  0.4212613	       8.1001644	 -0.0868199	       0.1537617	6
0.0000	122.288640	2	8	 -4.8008213	       8.1594195	 -0.2763063	       0.1430479	7
0.0000	122.388672	3	8	 -4.0369291	       8.1111807	 -0.2583319	       0.1449586	13
0.0000	122.388672	4	8	 -2.6639340	       8.1343630	 -0.2393349	       0.1391227	14
0.0000	122.388672	5	8	  5.7516308	       8.1778307	  0.0943089	       0.1439510	17
0.0000	123.288640	1	8	  0.4786314	       8.0986271	  0.1286034	       0.2463343	6
0.0000	123.388672	0	8	  7.2634397	       8.1494997	  0.4736567	       0.1652490	3
0.0000	123.388672	2	0	 -4.3276658	       8.1525473	 -0.5815934	       0.1483836	7
0.0000	123.388672	3	0	 -3.9871800	       8.1085913	 -0.6449685	       0.1483764	13
0.0000	123.388672	4	0	 -2.9794235	       8.1308549	 -0.7120157	       0.1608865	14
0.0000	123.388672	5	8	  5.0464253	       8.1685371	 -0.1395855	       0.1477690	17
0.0000	124.288640	1	8	  0.0113566	       8.0968799	 -0.2626066	       0.2487406	6
0.0000	124.388672	0	0	  6.9717674	       8.1441879	  0.6285151	       0.1681875	3
0.0000	124.388672	2	0	 -5.0419607	       8.1558908	 -0.6134406	       0.1682859	7
0.0000	124.388672	3	0	 -4.7859015	       8.1106262	 -0.7224312	       0.1696503	13
0.0000	124.388672	4	0	 -3.8392878	       8.1331788	 -0.7855830	       0.1836986	14
0.0000	124.388672	5	8	  5.0372844	       8.1624681	  0.2362659	       0.1812617	17
0.0000	125.288640	0	8	  7.5561481	       8.1466607	  0.7482711	       0.2536746	3
0.0000	125.288640	1	0	 -0.2164271	       8.0953966	 -0.7175496	       0.1602951	6
0.0000	125.288640	2	0	 -5.8038707	       8.1607027	 -1.4445940	       0.1994211	7
0.0000	125.388672	3	0	 -5.7134290	       8.1141205	 -1.6307764	       0.2151807	13
0.0000	125.388672	4	0	 -5.0936036	       8.1371036	 -1.7086071	       0.2219743	14
0.0000	125.388672	5	8	  4.3291960	       8.1545876	 -0.3740639	       0.1654790	17
0.0000	126.288640	0	8	  7.2830200	       8.1413382	  0.5048290	       0.2506969	3
0.0000	126.288640	1	0	 -1.1822726	       8.0974909	 -1.0339961	       0.1766377	6
0.0000	126.288640	2	0	 -6.9071331	       8.1697727	 -1.8476388	       0.2280525	7
0.0000	126.388672	3	0	 -7.2954879	       8.1213314	 -2.0599616	       0.2428304	13
0.0000	126.388672	4	0	 -6.6020036	       8.1436502	 -2.1161034	       0.2450544	14
0.0000	126.388672	5	8	  4.1160836	       8.1492118	 -0.4092342	       0.1662542	17
0.0000	127.288640	0	8	  7.1860266	       8.1370455	  0.4641415	       0.2505756	3
0.0000	127.288640	1	0	 -2.2255373	       8.1015027	 -1.2803614	       0.1936620	6
0.0000	127.288640	2	0	 -8.7104273	       8.1842873	 -2.2070072	       0.2569067	7
0.0000	127.388672	3	0	 -9.0448236	       8.1335878	 -2.4541655	       0.2704354	13
0.0000	127.388672	4	0	 -8.4548502	       8.1541165	 -2.4623792	       0.2672247	14
0.0000	127.388672	5	8	  3.9227905	       8.1443612	 -0.4037381	       0.1668588	17
0.0000	128.288640	0	8	  6.8380914	       8.1331408	  0.4066543	       0.2504794	3
0.0000	128.288640	1	0	 -3.7036991	       8.1084915	 -1.5588040	       0.2125644	6
0.0000	128.288640	2	0	-10.6362457	       8.2065692	 -2.5496705	       0.2877950	7
0.0000	128.388672	3	0	-11.2352648	       8.1532066	 -2.7769642	       0.2999250	13
0.0000	128.388672	4	0	-10.4860382	       8.1702648	 -2.7653308	       0.2904988	14
0.0000	128.388672	5	8	  3.7093635	       8.1399282	 -0.3814492	       0.1672056	17
0.0000	129.288640	0	8	  6.5624285	       8.1295285	  0.2924835	       0.2510270	3
0.0000	129.288640	1	0	 -5.6262479	       8.1197112	 -1.8325590	       0.2251481	6
0.0000	129.288640	2	0	-13.2175303	       8.2393147	 -2.8628843	       0.3126617	7
0.0000	129.388672	3	0	-13.9838572	       8.1829761	 -3.1421900	       0.3253543	13
0.0000	129.388672	4	0	-13.0644140	       8.1942558	 -3.0813255	       0.3172488	14
0.0000	129.388672	5	8	  3.4645557	       8.1358242	 -0.3556283	       0.1692798	17
0.0000	130.288640	0	8	  6.4106107	       8.1262028	  0.3176834	       0.2525376	3
0.0000	130.288640	1	0	 -7.5016556	       8.1355761	 -2.0872438	       0.2395093	6
0.0000	130.288640	2	0	-15.9255781	       8.2821477	 -3.2419474	       0.3394399	7
0.0000	130.388672	3	0	-16.8665161	       8.2222693	 -3.5313237	       0.3534489	13
0.0000	130.388672	4	0	-15.6169624	       8.2259518	 -3.3854678	       0.3454804	14
0.0000	130.388672	5	8	  3.3203421	       8.1319156	 -0.2764727	       0.1730710	17
0.0000	131.288640	0	8	  6.2137232	       8.1229584	  0.4057278	       0.2538631	3
0.0000	131.288640	1	0	 -9.8474712	       8.1568098	 -2.4486058	       0.2589066	6
0.0000	131.288640	2	0	-18.9314404	       8.3365132	 -3.6730914	       0.3713058	7
0.0000	131.388672	3	0	-19.8077621	       8.2722741	 -3.9192305	       0.3855583	13
0.0000	131.388672	4	0	-18.4762402	       8.2659541	 -3.6990874	       0.3748070	14
0.0000	131.388672	5	8	  3.2741597	       8.1282244	 -0.1741874	       0.1772907	17
0.0000	132.288640	0	8	  5.9069476	       8.1196985	  0.0784136	       0.2643529	3
0.0000	132.288640	1	0	-12.5166054	       8.1841853	 -2.8650191	       0.3004036	6
0.0000	132.288640	2	0	-23.0299473	       8.4044006	 -4.1710200	       0.4338323	7
0.0000	132.388672	3	0	-24.0572605	       8.3345361	 -4.4697361	       0.4521187	13
0.0000	132.388672	4	0	-22.1691933	       8.3153989	 -4.1707282	       0.4396517	14
